RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
68,Alejandro Arribas,es ESP,DF,FC Juárez,33,1989,23.0,967,917,45,43,0,4,0,2,0,0,0,0,798,5,3,Partidos
69,José Ávila,mx MEX,"CC,DF",Santos,24,1998,0.8,45,42,3,0,0,0,5,0,3,1,1,0,33,0,3,Partidos
70,David Ayala,mx MEX,CC,UANL,22,2000,0.2,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Partidos
71,Hugo Ayala,mx MEX,"DF,DL",UANL,35,1987,1.8,82,77,5,4,0,1,0,1,0,0,0,0,72,0,0,Partidos
72,Ettson Ayon,mx MEX,"DL,CC",Querétaro,21,2001,7.9,101,94,5,0,0,0,4,1,0,0,0,0,61,2,13,Partidos
73,Rafael Baca,mx MEX,CC,Cruz Azul,32,1989,11.3,435,427,8,6,1,0,0,2,0,0,0,0,360,0,5,Partidos
74,Claudio Baeza,cl CHI,CC,Toluca,28,1993,24.7,1659,1609,48,44,0,17,4,3,0,0,0,0,1513,2,19,Partidos
75,Kevin Balanta,co COL,DF,Querétaro,25,1997,22.3,920,887,30,24,0,15,3,5,0,0,0,0,698,3,11,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
76,Carlos Baltazar,mx MEX,CC,Puebla,25,1997,0.1,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,Partidos
77,Miguel Barbieri,ar ARG,DF,Querétaro,28,1993,12.3,541,506,34,31,0,11,0,3,0,0,0,0,390,1,6,Partidos
78,David Barbona,ar ARG,"CC,DL",Querétaro,27,1995,6.3,207,205,2,2,2,1,5,0,0,0,0,0,169,0,9,Partidos
79,Diego Barbosa,mx MEX,DF,Atlas,25,1996,12.4,495,404,89,1,0,11,61,88,0,0,0,0,338,2,22,Partidos
80,Marcelo Barovero,ar ARG,PO,Atlético,38,1984,32.6,881,455,423,84,0,1,0,0,0,0,0,0,560,3,1,Partidos
81,Martín Barra,mx MEX,"CC,DL",FC Juárez,20,2002,0.6,34,34,0,0,0,0,3,0,0,0,0,0,28,0,3,Partidos
82,Martín Barragán,mx MEX,DL,Puebla,31,1991,25.9,554,520,33,0,1,3,2,4,0,0,0,0,402,1,13,Partidos
83,Jaine Barreiro,co COL,DF,León,28,1994,27.5,1329,1256,71,63,5,45,12,8,0,0,0,0,1037,2,20,Partidos
84,Pablo Barrera,mx MEX,"CC,DL",Querétaro,35,1987,31.9,1311,1096,210,51,1,16,275,54,104,19,71,2,873,5,48,Partidos
85,Abraham Bass,mx MEX,CC,Atlas,20,2001,0.8,29,28,0,0,0,0,0,0,0,0,0,0,20,1,1,Partidos
86,Damián Batallini,ar ARG,"CC,DL",Necaxa,26,1996,8.3,259,236,23,8,1,2,30,10,3,2,1,0,195,0,10,Partidos
87,Facundo Batista,uy URU,DL,Necaxa,23,1999,19.7,315,292,23,0,2,4,9,0,0,0,0,0,211,0,5,Partidos
88,Eduard Bello,ve VEN,"DL,CC",Mazatlán,26,1995,13.5,418,375,39,13,0,1,46,18,7,4,3,0,292,4,21,Partidos
89,Paul Bellón,mx MEX,DF,León,25,1997,20.2,894,850,43,28,0,4,6,15,0,0,0,0,741,1,7,Partidos
90,Fernando Beltrán,mx MEX,CC,Guadalajara,24,1998,27.1,1308,1277,24,14,9,11,25,4,1,1,0,0,1110,7,21,Partidos
91,Nicolás Benedetti,co COL,"CC,DL",Mazatlán,25,1997,23.4,847,709,134,36,3,3,149,27,66,19,29,0,600,4,28,Partidos
92,Pablo Bennevendo Peña,mx MEX,DF,UNAM,22,2000,23.0,963,762,201,5,1,8,32,196,0,0,0,0,712,0,23,Partidos
93,Germán Berterame,ar ARG,"DL,CC",Monterrey,23,1998,26.0,671,645,18,1,3,2,26,8,3,1,1,0,473,8,31,Partidos
94,Unai Bilbao,es ESP,DF,Atlético,28,1994,14.4,564,537,27,22,1,16,0,1,0,0,0,0,463,0,0,Partidos
95,Léo Bonatini,br BRA,DL,Atlético,28,1994,10.1,212,191,21,0,0,2,3,3,0,0,0,0,157,0,6,Partidos
96,Antonio Briseño,mx MEX,DF,Guadalajara,28,1994,4.1,209,204,5,3,0,3,0,2,0,0,0,0,177,0,1,Partidos
97,Isaác Brizuela,mx MEX,"DL,CC",Guadalajara,31,1990,9.0,367,356,10,2,1,0,15,8,0,0,0,0,277,1,10,Partidos
98,Juan Brunetta,ar ARG,"CC,DL",Santos,25,1997,28.1,1384,1168,208,57,10,54,163,15,120,53,55,4,1069,8,24,Partidos
99,Gustavo Cabral,ar ARG,DF,Pachuca,36,1985,29.8,1417,1335,78,69,1,16,1,9,0,0,0,0,1205,4,3,Partidos
100,David Cabrera Pujol,mx MEX,CC,Querétaro,32,1989,0.3,21,21,0,0,0,0,0,0,0,0,0,0,19,0,0,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
101,Sebastián Cáceres,uy URU,DF,América,22,1999,23.1,1036,1002,31,30,0,2,4,0,0,0,0,0,874,3,8,Partidos
102,Jordy Caicedo,ec ECU,"DL,CC",UANL,24,1997,5.8,100,96,3,0,0,2,4,0,0,0,0,0,71,1,2,Partidos
103,José Caicedo,co COL,"CC,DF",UNAM,20,2002,11.3,520,507,12,5,2,9,3,6,1,0,1,0,422,1,10,Partidos
104,Cristian Calderón,mx MEX,"DF,DL",Guadalajara,25,1997,21.2,926,694,228,17,0,14,44,205,6,2,2,0,677,4,21,Partidos
105,Luis Calzadilla,mx MEX,CC,Pachuca,22,2000,0.3,8,7,0,0,0,0,0,0,0,0,0,0,6,1,0,Partidos
106,Raúl Camacho,mx MEX,"DL,CC",Mazatlán,20,2002,0.7,26,23,3,0,0,0,2,0,0,0,0,0,17,0,1,Partidos
107,Joel Campbell,cr CRC,"CC,DL",León,30,1992,17.3,770,719,49,24,7,14,41,14,11,6,3,0,615,2,16,Partidos
108,Omar Campos,mx MEX,DF,Santos,20,2002,32.6,1306,1031,271,14,2,12,74,256,1,0,0,0,975,4,34,Partidos
109,Alexis Canelo,ar ARG,DL,Tijuana,30,1992,32.0,1016,984,28,4,3,11,90,9,0,0,0,0,645,4,52,Partidos
110,Luis Cárdenas,mx MEX,PO,Monterrey,28,1993,8.5,289,208,80,17,0,2,0,0,0,0,0,0,212,1,0,Partidos
111,Ulises Cardona,mx MEX,"CC,DL",Necaxa,23,1998,0.7,30,28,2,0,0,0,6,1,1,0,1,0,23,0,0,Partidos
112,Rafael Carioca,br BRA,CC,UANL,33,1989,21.5,1488,1411,69,56,6,23,30,8,4,3,1,0,1291,8,22,Partidos
113,Gonzalo Carneiro,uy URU,DL,Cruz Azul,26,1995,11.1,216,200,12,0,0,1,8,0,0,0,0,0,134,4,9,Partidos
114,Ramiro Carrera,ar ARG,"CC,DL",Cruz Azul,28,1993,3.0,97,90,6,2,3,0,11,2,2,1,0,0,69,1,2,Partidos
115,Jordan Carrillo,mx MEX,"CC,DF",Santos,20,2001,1.2,47,43,4,0,0,0,2,4,0,0,0,0,39,0,0,Partidos
116,Kevin Castañeda,mx MEX,CC,Tijuana,22,1999,3.9,246,218,26,6,0,2,25,2,17,10,7,0,181,2,2,Partidos
117,Byron Castillo,ec ECU,DF,León,23,1998,15.7,700,566,130,6,0,4,64,123,1,0,1,0,536,4,20,Partidos
118,Fabián Castillo,co COL,DL,Tijuana,30,1992,2.4,69,69,0,0,0,0,5,0,0,0,0,0,51,0,5,Partidos
119,José Castillo Pérez,mx MEX,DF,Pachuca,20,2001,13.3,777,700,77,14,0,3,12,63,0,0,0,0,639,0,13,Partidos
120,Raúl Castillo,mx MEX,CC,Puebla,20,2001,0.7,17,15,2,1,0,0,3,0,1,1,0,0,12,0,0,Partidos
121,Lucas Cavallini,ca CAN,DL,Tijuana,29,1992,8.0,195,174,20,0,2,3,11,0,0,0,0,0,132,1,6,Partidos
122,Enrique Cedillo,mx MEX,DF,Mazatlán,26,1996,4.8,260,245,15,11,0,5,1,3,0,0,0,0,219,0,1,Partidos
123,Julien Celestine,fr FRA,DF,León,25,1997,3.3,90,88,2,2,0,1,0,0,0,0,0,0,69,0,0,Partidos
124,Alan Cervantes,mx MEX,CC,Santos,24,1998,24.2,1148,1112,34,27,2,23,8,6,1,0,0,0,1019,2,16,Partidos
125,Daniel Cervantes,mx MEX,DF,Querétaro,32,1990,3.5,120,115,5,4,0,1,0,1,0,0,0,0,95,0,2,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Partidos
126,Luís Cervantes,mx MEX,DF,León,21,2001,2.1,68,53,15,0,0,0,0,15,0,0,0,0,58,0,2,Partidos
127,Aníbal Chalá,ec ECU,"DF,CC",Atlas,26,1996,11.3,418,381,36,2,1,1,51,29,4,1,3,0,286,1,14,Partidos
128,Diego Chávez Collins,mx MEX,"DL,CC",FC Juárez,27,1995,2.3,63,60,3,0,0,1,4,3,0,0,0,0,43,0,4,Partidos
129,Luis Chávez,mx MEX,CC,Pachuca,26,1996,31.1,1984,1764,215,117,3,33,103,17,80,34,22,0,1625,5,20,Partidos
130,Ricardo Chávez Soto,mx MEX,DF,Atlético,27,1994,31.2,1541,1209,328,22,1,9,130,288,18,0,17,0,1108,4,42,Partidos
131,Jesús Chiquete,mx MEX,DF,Guadalajara,20,2002,29.4,1170,1068,99,31,0,26,16,68,0,0,0,0,929,3,16,Partidos
132,Ronaldo Cisneros,mx MEX,"DL,CC",Guadalajara,25,1997,9.6,140,131,9,0,0,1,5,0,0,0,0,0,105,0,2,Partidos
133,Josué Colmán,py PAR,"CC,DL",Mazatlán,24,1998,11.6,400,374,24,5,2,5,30,7,10,4,4,0,302,2,14,Partidos
