RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
371,Sabin Merino,es ESP,DL,Atlético,30,1992,21,2,314,3.5,2,0,2,1,1,1,1,0,2.3,1.6,0.1,1.7,9,10,33,0.57,0.00,0.57,0.29,0.29,0.67,0.03,0.70,0.44,0.47,Partidos
372,Maximiliano Meza,ar ARG,"CC,DL",Monterrey,29,1992,31,25,2113,23.5,3,5,8,3,0,0,9,0,3.5,3.5,4.5,7.9,77,130,112,0.13,0.21,0.34,0.13,0.34,0.15,0.19,0.34,0.15,0.34,Partidos
373,Hiram Mier,mx MEX,DF,Guadalajara,32,1989,8,4,341,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Partidos
374,Jesús Molina,mx MEX,CC,UNAM,34,1988,14,10,883,9.8,0,0,0,0,0,0,1,0,0.6,0.6,0.6,1.2,3,23,4,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Partidos
375,Tomás Molina,ar ARG,DL,FC Juárez,27,1995,13,9,846,9.4,4,0,4,4,0,0,2,0,2.6,2.6,0.6,3.2,21,14,62,0.43,0.00,0.43,0.43,0.43,0.28,0.06,0.34,0.28,0.34,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
376,Ricardo Monreal,mx MEX,"DL,CC",Necaxa,21,2001,25,8,828,9.2,2,3,5,2,0,0,1,0,1.8,1.8,1.2,3.0,15,32,67,0.22,0.33,0.54,0.22,0.54,0.19,0.13,0.33,0.19,0.33,Partidos
377,Pablo Monroy,mx MEX,DF,UNAM,20,2002,10,10,874,9.7,0,2,2,0,0,0,5,0,0.2,0.2,1.1,1.4,12,20,27,0.00,0.21,0.21,0.00,0.21,0.03,0.11,0.14,0.03,0.14,Partidos
378,Andres Montaño,mx MEX,CC,Mazatlán,20,2002,22,14,1160,12.9,2,0,2,2,0,0,1,0,1.4,1.4,1.3,2.7,17,78,28,0.16,0.00,0.16,0.16,0.16,0.11,0.10,0.21,0.11,0.21,Partidos
379,Joaquín Montecinos,cl CHI,DL,Tijuana,26,1995,27,19,1398,15.5,2,3,5,2,0,0,4,0,2.1,2.1,2.9,5.0,40,38,146,0.13,0.19,0.32,0.13,0.32,0.14,0.19,0.32,0.14,0.32,Partidos
380,César Montes,mx MEX,DF,Monterrey,25,1997,13,8,772,8.6,0,0,0,0,0,0,4,0,0.1,0.1,0.3,0.4,5,23,1,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Partidos
381,Luis Montes,mx MEX,CC,León,36,1986,14,12,871,9.7,0,0,0,0,0,0,4,0,0.7,0.7,1.7,2.4,18,64,29,0.00,0.00,0.00,0.00,0.00,0.07,0.18,0.25,0.07,0.25,Partidos
382,Adrián Mora,mx MEX,DF,FC Juárez,24,1997,5,2,266,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,10,0,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
383,Iván Morales Bravo,cl CHI,"DL,CC",Cruz Azul,23,1999,17,4,460,5.1,2,0,2,1,1,1,1,1,1.2,0.4,0.2,0.7,7,8,18,0.39,0.00,0.39,0.20,0.20,0.24,0.04,0.28,0.09,0.13,Partidos
384,Carlos Moreno,mx MEX,PO,Pachuca,24,1998,4,3,315,3.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
385,Héctor Moreno,mx MEX,DF,Monterrey,34,1988,29,22,1875,20.8,0,0,0,0,0,0,3,0,1.1,0.9,0.5,1.4,12,74,3,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.08,0.04,0.07,Partidos
386,Iker Moreno,mx MEX,DL,América,18,2003,1,0,51,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,4,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.36,0.36,0.36,Partidos
387,Iván Moreno,mx MEX,"CC,DL",Puebla,24,1998,16,9,774,8.6,0,0,0,0,0,0,1,0,1.0,1.0,0.4,1.4,32,23,47,0.00,0.00,0.00,0.00,0.00,0.11,0.05,0.16,0.11,0.16,Partidos
388,Iván Moreno,mx MEX,DF,León,24,1998,16,15,1292,14.4,1,4,5,1,0,0,4,0,1.4,1.4,1.8,3.2,45,44,78,0.07,0.28,0.35,0.07,0.35,0.10,0.12,0.22,0.10,0.22,Partidos
389,Omar Moreno,mx MEX,"CC,DL",Mazatlán,17,2005,8,1,219,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.4,13,4,20,0.00,0.00,0.00,0.00,0.00,0.14,0.02,0.16,0.14,0.16,Partidos
390,Yairo Moreno,co COL,"CC,DF",León,27,1995,29,19,1714,19.0,3,6,9,3,0,0,2,0,2.3,2.3,2.9,5.2,90,104,111,0.16,0.32,0.47,0.16,0.47,0.12,0.15,0.27,0.12,0.27,Partidos
391,Andrés Mosquera Guardia,co COL,DF,Toluca,32,1990,31,31,2789,31.0,1,2,3,1,0,0,2,0,1.3,1.3,0.6,1.9,18,97,34,0.03,0.06,0.10,0.03,0.10,0.04,0.02,0.06,0.04,0.06,Partidos
392,Alan Mozo,mx MEX,DF,Guadalajara,25,1997,28,20,1988,22.1,0,2,2,0,0,0,4,0,0.2,0.2,2.8,2.9,65,91,137,0.00,0.09,0.09,0.00,0.09,0.01,0.13,0.13,0.01,0.13,Partidos
393,Santiago Muñóz,mx MEX,"DL,CC",Santos,19,2002,6,1,121,1.3,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,2,5,13,0.00,0.00,0.00,0.00,0.00,0.21,0.10,0.31,0.21,0.31,Partidos
394,Zahid Muñoz,mx MEX,"CC,DL",Atlético,21,2001,3,0,45,0.5,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,2,5,2,2.00,0.00,2.00,2.00,2.00,0.16,0.00,0.16,0.16,0.16,Partidos
395,Zahid Muñoz,mx MEX,DL,Guadalajara,21,2001,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.68,0.00,0.68,Partidos
396,Jhon Murillo,ve VEN,"DL,CC",Atlético,27,1995,33,27,2306,25.6,2,2,4,2,0,0,6,0,,,,,,,,0.08,0.08,0.16,0.08,0.16,,,,,,Partidos
397,Óscar Murillo,co COL,DF,Pachuca,34,1988,16,14,1200,13.3,0,0,0,0,0,0,3,1,0.1,0.1,0.1,0.1,2,22,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
398,Ariel Nahuelpán,ar ARG,DL,Querétaro,34,1987,15,10,924,10.3,4,0,4,3,1,1,0,0,3.4,2.7,1.0,3.7,4,21,44,0.39,0.00,0.39,0.29,0.29,0.34,0.10,0.43,0.26,0.36,Partidos
399,Ariel Nahuelpán,ar ARG,DL,Mazatlán,34,1987,7,6,435,4.8,1,0,1,1,0,0,2,0,1.1,1.1,0.1,1.2,2,8,25,0.21,0.00,0.21,0.21,0.21,0.22,0.02,0.25,0.22,0.25,Partidos
400,José Navarro,mx MEX,CC,UNAM,19,2003,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
401,Fernando Navarro Morán,mx MEX,"CC,DL",Toluca,33,1989,32,19,1828,20.3,2,5,7,2,0,0,3,0,2.6,2.6,4.1,6.6,36,100,99,0.10,0.25,0.34,0.10,0.34,0.13,0.20,0.33,0.13,0.33,Partidos
402,Hugo Nervo,ar ARG,DF,Atlas,31,1991,31,31,2732,30.4,1,1,2,1,0,0,2,1,0.6,0.6,0.8,1.4,0,46,4,0.03,0.03,0.07,0.03,0.07,0.02,0.03,0.05,0.02,0.05,Partidos
403,Francisco Nevarez,mx MEX,DF,FC Juárez,21,2000,17,9,947,10.5,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,21,43,42,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Partidos
404,Alberto Ocejo,mx MEX,DL,Atlas,24,1998,15,7,591,6.6,1,1,2,1,0,0,1,0,2.8,2.8,1.1,3.9,8,12,37,0.15,0.15,0.30,0.15,0.30,0.43,0.17,0.60,0.43,0.60,Partidos
405,David Ochoa,us USA,PO,Atlético,21,2001,1,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
406,Guillermo Ochoa,mx MEX,PO,América,37,1985,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
407,Luis Olivas,mx MEX,DF,Guadalajara,22,2000,15,15,1278,14.2,1,0,1,1,0,0,2,1,1.2,1.2,0.1,1.3,8,33,0,0.07,0.00,0.07,0.07,0.07,0.08,0.01,0.09,0.08,0.09,Partidos
408,Maximiliano Olivera,uy URU,DF,FC Juárez,30,1992,32,32,2835,31.5,2,4,6,2,0,1,7,0,2.5,1.7,3.3,5.0,46,167,86,0.06,0.13,0.19,0.06,0.19,0.08,0.10,0.18,0.05,0.16,Partidos
409,Agustín Oliveros,uy URU,DF,Necaxa,23,1998,34,33,2906,32.3,3,1,4,3,0,0,7,0,1.3,1.3,0.8,2.0,16,114,36,0.09,0.03,0.12,0.09,0.12,0.04,0.02,0.06,0.04,0.06,Partidos
410,Fernando Ordóñez,mx MEX,"CC,DL",UANL,21,2001,1,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,1,0.00,0.00,0.00,0.00,0.00,0.25,0.05,0.30,0.25,0.30,Partidos
411,Alejandro Organista,mx MEX,"DL,CC",Atlético,22,2000,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.18,0.10,0.18,Partidos
412,Santiago Ormeño,pe PER,"DL,CC",FC Juárez,28,1994,4,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,Partidos
413,Santiago Ormeño,pe PER,"DL,DF",Guadalajara,28,1994,12,2,386,4.3,1,0,1,1,0,0,1,0,2.0,2.0,0.3,2.2,2,4,16,0.23,0.00,0.23,0.23,0.23,0.46,0.06,0.52,0.46,0.52,Partidos
414,Efraín Orona,mx MEX,DF,Mazatlán,23,1999,18,11,1099,12.2,0,0,0,0,0,0,4,0,0.1,0.1,0.3,0.4,5,33,9,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
415,Jonathan Orozco,mx MEX,PO,Tijuana,36,1986,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
416,Carlos Orrantía,mx MEX,DF,Santos,31,1991,16,15,1228,13.6,1,5,6,1,0,0,1,0,0.2,0.2,1.7,1.9,15,53,50,0.07,0.37,0.44,0.07,0.44,0.02,0.12,0.14,0.02,0.14,Partidos
417,Carlos Orrantía,mx MEX,"DF,DL",Toluca,31,1991,7,4,331,3.7,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.7,5,10,14,0.27,0.00,0.27,0.27,0.27,0.12,0.06,0.18,0.12,0.18,Partidos
418,Edyairth Ortega,mx MEX,CC,Atlas,25,1997,8,4,434,4.8,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,5,21,4,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Partidos
419,Haret Ortega,mx MEX,DF,Toluca,22,2000,9,6,573,6.4,0,1,1,0,0,0,4,0,0.1,0.1,0.3,0.4,1,8,0,0.00,0.16,0.16,0.00,0.16,0.02,0.05,0.06,0.02,0.06,Partidos
420,Miguel Ortega,mx MEX,PO,UANL,27,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
421,Arturo Ortiz,mx MEX,DF,UNAM,29,1992,22,22,1929,21.4,0,0,0,0,0,0,5,1,0.6,0.6,0.9,1.6,15,107,7,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Partidos
422,Celso Ortiz,py PAR,CC,Monterrey,33,1989,32,28,2225,24.7,0,4,4,0,0,0,2,0,0.5,0.5,1.4,1.9,6,120,16,0.00,0.16,0.16,0.00,0.16,0.02,0.06,0.08,0.02,0.08,Partidos
423,Mario Osuna,mx MEX,"CC,DL",FC Juárez,33,1988,6,2,191,2.1,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,3,5,3,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Partidos
424,Mario Osuna,mx MEX,"CC,DF",Querétaro,33,1988,10,5,485,5.4,1,1,2,0,1,1,1,0,0.9,0.1,0.3,0.4,6,24,5,0.19,0.19,0.37,0.00,0.19,0.17,0.05,0.22,0.02,0.07,Partidos
425,Juan Pablo Segovia,ar ARG,DF,Necaxa,33,1989,28,24,2179,24.2,0,2,2,0,0,0,6,0,1.0,1.0,0.1,1.1,17,69,3,0.00,0.08,0.08,0.00,0.08,0.04,0.01,0.05,0.04,0.05,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
426,Juan Pablo Vigón,mx MEX,CC,UANL,31,1991,28,12,1041,11.6,2,1,3,2,0,0,2,1,1.5,1.5,0.9,2.5,13,40,36,0.17,0.09,0.26,0.17,0.26,0.13,0.08,0.21,0.13,0.21,Partidos
427,Pablo Parra,cl CHI,CC,Puebla,28,1994,11,6,569,6.3,1,0,1,1,0,0,0,0,0.9,0.9,1.0,1.9,17,27,43,0.16,0.00,0.16,0.16,0.16,0.14,0.16,0.30,0.14,0.30,Partidos
428,Rodrigo Parra,mx MEX,DF,Tijuana,18,2003,4,4,224,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,8,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
429,Paulino,es ESP,"DL,CC",Pachuca,25,1997,18,5,586,6.5,1,3,4,1,0,0,2,0,1.8,1.8,1.5,3.3,26,35,52,0.15,0.46,0.61,0.15,0.61,0.28,0.23,0.51,0.28,0.51,Partidos
430,Pedro Pedraza,mx MEX,CC,Pachuca,22,2000,5,0,81,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
431,Miguel Pedroza,mx MEX,DL,Necaxa,19,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.50,Partidos
432,Kevin Pereira,py PAR,DL,FC Juárez,18,2004,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
433,Sebastián Pérez Bouquet,mx MEX,"CC,DL",Guadalajara,19,2003,6,3,222,2.5,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,5,11,10,0.41,0.00,0.41,0.41,0.41,0.18,0.01,0.19,0.18,0.19,Partidos
434,Julio Pérez,mx MEX,DF,Pachuca,20,2002,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
435,Pavel Pérez,mx MEX,"CC,DL",Guadalajara,24,1998,30,4,794,8.8,2,0,2,2,0,0,1,0,2.6,2.6,0.6,3.2,27,29,53,0.23,0.00,0.23,0.23,0.23,0.29,0.07,0.36,0.29,0.36,Partidos
436,Eduardo Pérez Reyes,mx MEX,DL,Santos,29,1993,5,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
437,Baldomero Perlaza,co COL,CC,Querétaro,30,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Partidos
438,Jonathan Perlaza,ec ECU,"DF,CC",Querétaro,24,1997,13,10,910,10.1,0,1,1,0,0,0,2,0,0.5,0.5,0.8,1.3,9,26,20,0.00,0.10,0.10,0.00,0.10,0.05,0.07,0.12,0.05,0.12,Partidos
439,Jesús Piñuelas,mx MEX,DF,Atlético,24,1998,9,9,765,8.5,0,0,0,0,0,0,3,0,0.4,0.4,0.0,0.4,2,19,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Partidos
440,Guido Pizarro,ar ARG,"CC,DF",UANL,32,1990,32,31,2777,30.9,1,0,1,1,0,0,5,0,3.0,3.0,1.0,4.0,37,164,48,0.03,0.00,0.03,0.03,0.03,0.10,0.03,0.13,0.10,0.13,Partidos
441,Rodolfo Pizarro,mx MEX,"CC,DL",Monterrey,28,1994,15,8,788,8.8,0,2,2,0,0,0,5,0,1.5,1.5,1.3,2.9,43,40,69,0.00,0.23,0.23,0.00,0.23,0.18,0.15,0.33,0.18,0.33,Partidos
442,Franco Pizzichillo,uy URU,"DF,CC",Santos,26,1996,4,2,120,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,6,10,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Partidos
443,Vicente Poggi,uy URU,CC,Necaxa,20,2002,21,8,769,8.5,0,1,1,0,0,0,5,0,0.4,0.4,0.3,0.7,9,35,15,0.00,0.12,0.12,0.00,0.12,0.04,0.04,0.08,0.04,0.08,Partidos
444,Osvaldo Rodríguez del Portal,mx MEX,DF,León,25,1996,30,30,2472,27.5,1,1,2,1,0,0,7,1,1.5,1.5,1.4,2.9,24,76,54,0.04,0.04,0.07,0.04,0.07,0.05,0.05,0.11,0.05,0.11,Partidos
445,Harold Preciado,co COL,DL,Santos,28,1994,34,30,2577,28.6,13,6,19,10,3,3,6,0,12.9,10.5,3.0,13.6,51,64,184,0.45,0.21,0.66,0.35,0.56,0.45,0.11,0.55,0.37,0.47,Partidos
446,Leonel Prieto,mx MEX,DL,UANL,20,2001,1,0,15,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,0,0.00,0.00,0.00,0.00,0.00,1.27,0.00,1.27,1.27,1.27,Partidos
447,Ronaldo Prieto,mx MEX,"DF,CC",Santos,25,1997,12,8,722,8.0,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,3,14,3,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos
448,Julián Quiñones,co COL,DL,Atlas,25,1997,32,32,2846,31.6,17,1,18,15,2,3,3,0,15.2,12.7,2.8,15.6,59,132,257,0.54,0.03,0.57,0.47,0.51,0.48,0.09,0.57,0.40,0.49,Partidos
449,Cándido Ramírez,mx MEX,CC,FC Juárez,29,1993,4,2,153,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,1,16,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Partidos
450,Héctor Ramírez,mx MEX,DF,UNAM,18,2004,2,2,64,0.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
451,Kevin Ramírez,uy URU,"DL,CC",Puebla,28,1994,4,0,80,0.9,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,3,11,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.43,0.43,0.43,Partidos
452,Rafael Ramírez,mx MEX,PO,Necaxa,29,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
453,Salvador Reyes Chávez,mx MEX,DF,América,24,1998,25,15,1406,15.6,1,1,2,1,0,0,3,0,1.1,1.1,1.7,2.7,32,31,92,0.06,0.06,0.13,0.06,0.13,0.07,0.11,0.17,0.07,0.17,Partidos
454,Diego Reyes,mx MEX,DF,UANL,29,1992,24,22,1963,21.8,1,0,1,1,0,0,4,0,2.1,2.1,1.0,3.1,23,65,3,0.05,0.00,0.05,0.05,0.05,0.10,0.05,0.14,0.10,0.14,Partidos
455,Israel Reyes,mx MEX,DF,América,22,2000,14,14,1260,14.0,0,0,0,0,0,0,2,0,1.2,1.2,0.2,1.3,8,51,5,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.10,0.08,0.10,Partidos
456,Israel Reyes,mx MEX,"CC,DF",Puebla,22,2000,17,16,1469,16.3,3,0,3,3,0,0,3,0,1.4,1.4,0.1,1.5,7,43,10,0.18,0.00,0.18,0.18,0.18,0.09,0.01,0.09,0.09,0.09,Partidos
457,Jacobo Reyes,us USA,"DL,DF",Monterrey,21,2000,3,1,51,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.18,Partidos
458,Jose Reyes,mx MEX,CC,FC Juárez,21,2001,1,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
459,Luis Ricardo Reyes,mx MEX,"DF,CC",Atlas,31,1991,29,29,2406,26.7,1,4,5,0,1,1,6,1,1.4,0.6,3.9,4.5,40,122,87,0.04,0.15,0.19,0.00,0.15,0.05,0.15,0.20,0.02,0.17,Partidos
460,Jesús Rivas,mx MEX,DF,UNAM,19,2002,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
461,Ulises Rivas,mx MEX,CC,UNAM,26,1996,11,7,559,6.2,1,0,1,1,0,0,1,0,0.4,0.4,0.1,0.5,2,12,10,0.16,0.00,0.16,0.16,0.16,0.06,0.02,0.08,0.06,0.08,Partidos
462,Christian Rivera,co COL,"CC,DL",Tijuana,26,1996,12,3,436,4.8,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,8,23,14,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.19,0.07,0.19,Partidos
463,Christian Rivera,co COL,CC,Querétaro,26,1996,13,13,1170,13.0,1,1,2,1,0,0,7,0,0.9,0.9,0.5,1.4,16,71,13,0.08,0.08,0.15,0.08,0.15,0.06,0.03,0.09,0.06,0.09,Partidos
464,Ignacio Rivero,uy URU,"DF,CC",Cruz Azul,30,1992,31,30,2666,29.6,1,5,6,1,0,0,7,0,2.0,2.0,3.9,6.0,34,160,156,0.03,0.17,0.20,0.03,0.20,0.07,0.13,0.20,0.07,0.20,Partidos
465,Jorge Roberto Díaz,mx MEX,"CC,DL",León,24,1998,5,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,1,1,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.13,0.09,0.13,Partidos
466,Ángel Robles,mx MEX,"CC,DF",Puebla,20,2001,14,6,564,6.3,2,1,3,2,0,0,2,0,1.3,1.3,0.3,1.6,10,12,34,0.32,0.16,0.48,0.32,0.48,0.20,0.05,0.25,0.20,0.25,Partidos
467,Carlos Robles,mx MEX,CC,Atlas,22,2000,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
468,Aldo Rocha,mx MEX,CC,Atlas,29,1992,22,21,1779,19.8,1,1,2,1,0,0,5,0,1.2,1.2,1.2,2.4,19,117,13,0.05,0.05,0.10,0.05,0.10,0.06,0.06,0.12,0.06,0.12,Partidos
469,Alan Rodríguez,mx MEX,CC,Toluca,26,1996,14,1,169,1.9,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,1,5,5,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Partidos
470,Brian Rodríguez,uy URU,"DL,CC",América,22,2000,17,5,715,7.9,1,1,2,1,0,0,1,0,2.2,2.2,0.8,3.1,37,29,87,0.13,0.13,0.25,0.13,0.25,0.28,0.11,0.39,0.28,0.39,Partidos
471,Charly Rodríguez,mx MEX,"CC,DL",Cruz Azul,25,1997,34,29,2537,28.2,2,6,8,2,0,0,7,0,1.3,1.3,5.8,7.1,55,190,102,0.07,0.21,0.28,0.07,0.28,0.05,0.21,0.25,0.05,0.25,Partidos
472,Emerson Rodríguez,co COL,CC,Santos,21,2000,7,1,195,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.5,7,7,30,0.00,0.00,0.00,0.00,0.00,0.03,0.22,0.25,0.03,0.25,Partidos
473,Gael Rodríguez,mx MEX,DF,UNAM,20,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
474,Jerónimo Rodríguez,mx MEX,DF,UNAM,23,1999,11,7,553,6.1,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.5,6,19,26,0.16,0.00,0.16,0.16,0.16,0.04,0.04,0.08,0.04,0.08,Partidos
475,Jesús Rodríguez,mx MEX,PO,Puebla,29,1993,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
