RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
221,Uziel García,mx MEX,DF,Atlético,21,2001,18,11,1082,12.0,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.8,9,29,18,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,Partidos
222,Bryan Garnica,mx MEX,"CC,DL",Necaxa,26,1996,33,25,2107,23.4,2,3,5,2,0,0,3,0,1.3,1.3,4.2,5.5,51,54,134,0.09,0.13,0.21,0.09,0.21,0.05,0.18,0.23,0.05,0.23,Partidos
223,Jesús Garza,mx MEX,DF,UANL,22,2000,22,15,1226,13.6,0,1,1,0,0,0,5,0,0.3,0.3,0.9,1.3,20,69,89,0.00,0.07,0.07,0.00,0.07,0.02,0.07,0.09,0.02,0.09,Partidos
224,André-Pierre Gignac,fr FRA,DL,UANL,36,1985,30,29,2612,29.0,15,3,18,13,2,2,6,0,13.1,11.5,2.9,14.4,39,70,194,0.52,0.10,0.62,0.45,0.55,0.45,0.10,0.55,0.40,0.50,Partidos
225,Milton Giménez,ar ARG,DL,Necaxa,25,1996,22,18,1496,16.6,4,2,6,4,0,0,4,0,3.6,3.6,1.9,5.5,24,29,93,0.24,0.12,0.36,0.24,0.36,0.22,0.11,0.33,0.22,0.33,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
226,Santiago Giménez,mx MEX,DL,Cruz Azul,21,2001,5,5,408,4.5,5,0,5,2,3,3,0,0,3.7,1.3,0.5,1.8,4,8,21,1.10,0.00,1.10,0.44,0.44,0.82,0.11,0.93,0.29,0.41,Partidos
227,Rodrigo Godínez,mx MEX,DF,Tijuana,29,1992,14,13,1133,12.6,0,0,0,0,0,0,5,0,0.7,0.7,0.1,0.8,7,47,18,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Partidos
228,Alejandro Gómez,mx MEX,DF,Atlas,20,2002,6,4,364,4.0,0,2,2,0,0,0,0,0,0.0,0.0,0.8,0.8,2,19,3,0.00,0.49,0.49,0.00,0.49,0.00,0.20,0.20,0.00,0.20,Partidos
229,Diego Gómez,mx MEX,"CC,DF",Necaxa,18,2003,14,3,356,4.0,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,15,14,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.12,0.11,0.12,Partidos
