RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos
527,Maximiliano Silvera,uy URU,"DL,CC",Necaxa,24,1997,5.3,86,127,67.7,1251,289,54,62,87.1,27,39,69.2,3,7,42.9,1,0.1,0.2,+0.9,3,13,2,0,11,Partidos
528,Alan Soñora,us USA,"CC,DL",FC Juárez,23,1998,3.7,148,187,79.1,2846,927,59,64,92.2,67,76,88.2,20,39,51.3,1,0.8,0.6,+0.2,10,22,3,1,30,Partidos
529,Joel Soñora,us USA,"CC,DL",FC Juárez,25,1996,1.2,44,60,73.3,615,230,29,34,85.3,11,15,73.3,3,9,33.3,1,0.3,0.2,+0.7,2,4,2,2,7,Partidos
530,Gonzalo Sosa,ar ARG,DL,Mazatlán,33,1989,9.0,104,158,65.8,1317,314,58,84,69.0,32,45,71.1,1,5,20.0,1,0.8,0.6,+0.2,12,8,4,0,17,Partidos
531,Sebastián Sosa,uy URU,PO,UNAM,35,1986,12.0,275,391,70.3,8017,6432,52,52,100.0,128,131,97.7,95,208,45.7,0,0.0,0.0,0.0,0,4,0,0,0,Partidos
532,Yeferson Soteldo,ve VEN,"DL,CC",UANL,25,1997,0.4,32,40,80.0,445,112,19,21,90.5,8,11,72.7,3,4,75.0,0,0.3,0.7,-0.3,4,0,5,2,4,Partidos
533,Leonardo Suárez,ar ARG,CC,Santos,26,1996,8.3,246,343,71.7,4545,1850,104,127,81.9,105,127,82.7,31,71,43.7,2,1.6,1.5,+0.4,18,40,18,6,52,Partidos
534,Leonardo Suárez,ar ARG,"CC,DL",América,26,1996,7.6,291,391,74.4,5161,1191,143,159,89.9,108,137,78.8,37,81,45.7,1,2.1,2.0,-1.1,17,30,11,4,31,Partidos
535,Christian Tabó,uy URU,"DL,CC",Cruz Azul,28,1993,8.1,136,197,69.0,2069,423,74,92,80.4,44,63,69.8,10,19,52.6,0,0.5,0.6,-0.5,8,5,9,5,17,Partidos
536,Alfredo Talavera,mx MEX,PO,FC Juárez,39,1982,34.0,800,1061,75.4,24740,18030,98,98,100.0,368,377,97.6,331,576,57.5,0,0.0,0.0,0.0,0,12,0,0,0,Partidos
537,Miguel Tapias,mx MEX,DF,Pachuca,25,1997,11.2,475,569,83.5,9805,4170,139,160,86.9,263,287,91.6,69,105,65.7,0,0.1,0.1,-0.1,2,27,1,0,30,Partidos
538,Eduardo Tercero,mx MEX,"DF,DL",UANL,26,1996,1.8,43,60,71.7,791,414,16,18,88.9,26,34,76.5,1,8,12.5,0,0.0,0.0,0.0,0,4,0,0,5,Partidos
539,William Tesillo,co COL,DF,León,32,1990,4.9,239,294,81.3,5219,2311,72,76,94.7,115,134,85.8,46,72,63.9,0,0.0,0.1,0.0,0,27,1,0,24,Partidos
540,Florian Thauvin,fr FRA,"CC,DL",UANL,29,1993,3.5,117,154,76.0,1845,539,71,79,89.9,36,46,78.3,8,15,53.3,2,1.5,1.1,+0.5,6,17,6,0,20,Partidos
541,Iván Tona,mx MEX,"CC,DF",Monterrey,22,2000,0.2,19,19,100.0,289,55,13,13,100.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Partidos
542,Alan Torres,mx MEX,CC,Guadalajara,22,2000,6.0,313,369,84.8,6145,2132,117,127,92.1,149,167,89.2,44,65,67.7,0,0.1,0.2,-0.1,4,33,5,0,43,Partidos
543,Félix Torres Caicedo,ec ECU,DF,Santos,25,1997,23.8,645,910,70.9,14227,6980,190,222,85.6,323,408,79.2,129,249,51.8,0,1.4,0.4,-1.4,8,73,3,1,75,Partidos
544,Jonathan Torres,ar ARG,DL,Querétaro,25,1996,6.5,71,133,53.4,971,210,46,71,64.8,18,32,56.3,3,9,33.3,1,0.4,0.5,+0.6,5,0,3,2,4,Partidos
545,Jorge Torres Nilo,mx MEX,"DF,DL",Toluca,34,1988,2.1,110,125,88.0,2275,708,30,30,100.0,68,72,94.4,12,21,57.1,0,0.0,0.0,0.0,0,3,0,0,3,Partidos
546,Raúl Torres Rodríguez,mx MEX,DF,Querétaro,25,1996,1.9,83,94,88.3,1426,576,37,38,97.4,36,40,90.0,9,11,81.8,0,0.3,0.2,-0.3,2,8,2,2,14,Partidos
547,Christopher Trejo,mx MEX,"DL,CC",Atlas,22,1999,8.2,226,283,79.9,3748,1210,117,132,88.6,73,81,90.1,24,44,54.5,0,1.7,1.2,-1.7,14,23,8,3,28,Partidos
548,Lucas Trezza,uy URU,CC,Atlas,25,1997,0.6,18,23,78.3,310,43,8,8,100.0,9,10,90.0,1,3,33.3,0,0.2,0.0,-0.2,4,2,2,0,5,Partidos
549,Santiago Trigos,mx MEX,CC,UNAM,20,2002,3.4,117,152,77.0,2043,546,57,68,83.8,41,53,77.4,13,15,86.7,1,0.4,0.1,+0.6,2,5,2,1,8,Partidos
550,Héctor Uribe,mx MEX,DF,León,18,2004,1.7,75,86,87.2,1171,350,47,51,92.2,20,21,95.2,7,11,63.6,0,0.1,0.2,-0.1,1,3,2,2,8,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos
551,Agustín Urzi,ar ARG,"CC,DL",FC Juárez,22,2000,5.3,124,167,74.3,2000,592,67,75,89.3,41,50,82.0,12,23,52.2,1,0.6,0.7,+0.4,8,10,5,2,19,Partidos
552,Óscar Ustari,ar ARG,PO,Pachuca,36,1986,30.5,612,906,67.5,20196,16787,71,72,98.6,264,271,97.4,277,558,49.6,0,0.1,0.1,-0.1,1,13,1,0,0,Partidos
553,Diego Valdés,cl CHI,"CC,DL",América,28,1994,27.7,1027,1262,81.4,18254,4940,445,503,88.5,457,520,87.9,103,171,60.2,9,7.6,6.9,+1.4,63,165,55,3,254,Partidos
554,Bruno Valdez,py PAR,DF,América,29,1992,6.1,215,259,83.0,4415,1617,61,67,91.0,124,138,89.9,28,49,57.1,1,0.1,0.0,+0.9,3,7,1,0,12,Partidos
555,Carlos Valenzuela,ar ARG,"CC,DL",Tijuana,25,1997,10.7,288,450,64.0,5030,1993,142,166,85.5,100,151,66.2,35,96,36.5,1,2.2,2.9,-1.2,30,33,18,6,59,Partidos
556,José Van Rankin,mx MEX,DF,Necaxa,29,1993,15.6,551,740,74.5,10161,4483,241,277,87.0,238,310,76.8,63,125,50.4,1,1.0,0.8,0.0,19,60,11,6,67,Partidos
557,Camilo Vargas,co COL,PO,Atlas,33,1989,29.1,765,1124,68.1,24421,20084,131,132,99.2,323,329,98.2,311,658,47.3,0,0.1,0.2,-0.1,3,50,2,0,1,Partidos
558,Ivo Vázquez,mx MEX,"DF,CC",Puebla,21,2000,5.4,143,211,67.8,2582,816,78,94,83.0,45,53,84.9,18,45,40.0,2,0.4,0.7,+1.6,5,12,5,4,15,Partidos
559,Alexis Vega,mx MEX,"DL,CC",Guadalajara,24,1997,22.6,602,854,70.5,11807,3315,254,307,82.7,229,322,71.1,104,178,58.4,7,7.4,5.6,-0.4,52,84,31,6,91,Partidos
560,Sebastián Vegas,cl CHI,DF,Monterrey,25,1996,18.6,587,771,76.1,10880,4299,211,236,89.4,316,360,87.8,52,150,34.7,1,0.5,0.6,+0.5,9,33,6,1,37,Partidos
561,Efraín Velarde,mx MEX,DF,UNAM,36,1986,3.8,117,150,78.0,2160,974,48,53,90.6,51,60,85.0,15,33,45.5,0,0.0,0.0,0.0,1,13,1,0,11,Partidos
562,Jesus Velasco,mx MEX,DF,Necaxa,16,2006,0.0,1,2,50.0,14,0,1,1,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Partidos
563,Emiliano Velázquez,uy URU,DF,FC Juárez,28,1994,8.4,210,269,78.1,4642,2134,57,63,90.5,114,126,90.5,38,70,54.3,0,0.0,0.0,0.0,3,13,0,0,16,Partidos
564,Jesús Venegas,mx MEX,"CC,DL",Toluca,27,1995,5.2,260,304,85.5,4707,1327,106,115,92.2,132,138,95.7,20,40,50.0,0,0.1,0.1,-0.1,2,16,1,0,11,Partidos
565,Érik Vera,mx MEX,DF,Querétaro,30,1992,1.8,59,71,83.1,1042,429,28,30,93.3,26,31,83.9,5,7,71.4,0,0.1,0.1,-0.1,2,6,1,1,8,Partidos
566,Álvaro Verda,mx MEX,"DL,DF",Querétaro,23,1999,0.8,11,18,61.1,125,23,8,11,72.7,2,3,66.7,0,0,,0,0.1,0.1,-0.1,1,0,0,0,0,Partidos
567,Duván Vergara,co COL,"CC,DL",Monterrey,25,1996,2.2,70,102,68.6,1095,318,40,44,90.9,23,34,67.6,6,13,46.2,0,0.1,0.2,-0.1,2,7,4,0,11,Partidos
568,Néstor Vidrio,mx MEX,DF,Mazatlán,33,1989,25.4,947,1147,82.6,20921,8376,225,265,84.9,543,610,89.0,173,249,69.5,0,0.2,0.3,-0.2,5,60,4,1,65,Partidos
569,Nicolás Vikonis,uy URU,PO,Mazatlán,38,1984,21.5,505,703,71.8,16077,12323,60,63,95.2,229,231,99.1,212,403,52.6,0,0.0,0.0,0.0,0,10,1,0,0,Partidos
570,Oscar Villa,mx MEX,DF,León,21,2001,4.6,156,203,76.8,2612,979,73,83,88.0,67,83,80.7,12,28,42.9,0,0.1,0.3,-0.1,3,6,2,1,15,Partidos
571,Patrick Villa,mx MEX,DF,Puebla,18,2003,0.9,40,50,80.0,631,262,24,25,96.0,14,18,77.8,2,4,50.0,0,0.0,0.0,0.0,0,2,0,0,0,Partidos
572,Dieter Villalpando,mx MEX,"CC,DL",Atlético,30,1991,11.1,386,505,76.4,6019,1873,204,239,85.4,143,175,81.7,26,57,45.6,0,1.6,1.9,-1.6,22,47,14,5,64,Partidos
573,Dieter Villalpando,mx MEX,"CC,DL",Necaxa,30,1991,7.7,248,334,74.3,4631,1507,108,129,83.7,103,133,77.4,33,51,64.7,1,0.5,0.9,+0.5,13,31,17,6,45,Partidos
574,Sergio Villarreal,mx MEX,DF,Monterrey,22,2000,0.3,6,10,60.0,57,36,5,7,71.4,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Partidos
575,Federico Viñas,uy URU,"DL,CC",América,24,1998,5.9,102,153,66.7,1466,307,62,87,71.3,32,41,78.0,5,9,55.6,1,0.7,0.4,+0.3,8,11,4,0,15,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,90 s,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Cmp,Int.,% Cmp,Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Partidos
576,Isaías Violante,mx MEX,"CC,DL",Toluca,18,2003,1.7,56,75,74.7,899,215,31,35,88.6,20,25,80.0,5,13,38.5,0,0.2,0.0,-0.2,1,4,2,0,9,Partidos
577,Vitinho,br BRA,"DL,CC",Atlético,21,2001,17.0,343,461,74.4,5871,1647,172,202,85.1,132,164,80.5,34,62,54.8,0,1.3,1.8,-1.3,17,27,20,3,55,Partidos
